(56, 1, 'Benny and the Jets / other piano', 'Benny and the Jets / other piano', datetime.date(2013, 9, 17), 'Private', 'Done', None, None)
(57, 1, "Mike's release", "Mike's release", datetime.date(2013, 9, 18), 'Private', 'Bottom of Backlog', None, None)
(58, 1, 'Piano practice', 'Piano practice', datetime.date(2013, 9, 21), 'Private', 'Done', None, None)
(59, 1, 'Catch up on checkins -- review both EDP & IBS stuff', 'Catch up on checkins -- review both EDP & IBS stuff', datetime.date(2013, 9, 23), 'Private', 'Bottom of Backlog', None, None)
(60, 1, 'Two hours on Goalboost bug list.', 'Two hours on Goalboost bug list.', datetime.date(2013, 9, 23), 'Private', 'Bottom of Backlog', 1, None)
(64, 1, 'Verify again', 'Verify again', datetime.date(2013, 9, 23), 'Private', 'Done', 1, None)
(65, 1, 'Work on edits.', 'Work on edits.', datetime.date(2013, 9, 28), 'Private', 'Bottom of Backlog', 1, None)
(66, 1, 'Edit work', 'Edit work', datetime.date(2013, 9, 29), 'Private', 'Bottom of Backlog', 1, None)
(67, 1, 'Write to Juan', 'Write to Juan', datetime.date(2013, 11, 24), 'Private', 'Bottom of Backlog', 1, None)
(68, 1, 'Relaysafe, escrowmaker -- check domain status', 'Relaysafe, escrowmaker -- check domain status', datetime.date(2013, 11, 24), 'Private', 'Bottom of Backlog', 1, None)
(69, 1, 'Talking to Juan', 'Talking to Juan', datetime.date(2013, 12, 8), 'Private', 'Bottom of Backlog', 1, None)
(70, 1, 'Build the rest of the app -- should be easy. :)', 'Build the rest of the app -- should be easy. :)', datetime.date(2013, 12, 8), 'Private', 'Bottom of Backlog', 1, None)
(71, 1, 'Revised Resume for Java to Leo', 'Revised Resume for Java to Leo', datetime.date(2013, 12, 10), 'Private', 'Bottom of Backlog', None, None)
(72, 1, 'Help Ryan and Herman', 'Help Ryan and Herman', datetime.date(2013, 12, 10), 'Private', 'Bottom of Backlog', 1, None)
(73, 1, 'TD-17915', 'TD-17915', datetime.date(2013, 12, 10), 'Private', 'Bottom of Backlog', 1, None)
(74, 1, 'Run in local environment', 'Run in local environment', datetime.date(2013, 12, 11), 'Private', 'Done', 1, None)
(75, 1, 'Review data structure, allow for time slip edits and teams', 'Review data structure, allow for time slip edits and teams', datetime.date(2013, 12, 11), 'Private', 'Bottom of Backlog', 1, None)
(76, 1, 'Research bug trackers, update local, misc, enter defects bitbucket.', 'Research bug trackers, update local, misc, enter defects bitbucket.', datetime.date(2013, 12, 11), 'Private', 'Bottom of Backlog', 1, None)
(77, 1, 'Redo tests', 'Redo tests', datetime.date(2013, 12, 12), 'Private', 'Bottom of Backlog', 1, None)
(78, 1, 'Add new tables, milestones and projects', 'Add new tables, milestones and projects', datetime.date(2013, 12, 24), 'Private', 'Bottom of Backlog', 1, None)
(79, 1, 'Review UI in light of Bitbucket', 'Review UI in light of Bitbucket', datetime.date(2013, 12, 24), 'Private', 'Bottom of Backlog', 1, None)
(80, 1, 'More database changes / testing', 'More database changes / testing', datetime.date(2013, 12, 26), 'Private', 'Bottom of Backlog', 1, None)
(81, 1, 'Bring Jenniffer on Board -- Linux environment', 'Bring Jenniffer on Board -- Linux environment', datetime.date(2013, 12, 26), 'Private', 'Bottom of Backlog', 1, None)
(82, 1, 'Work on Project model', 'Work on Project model', datetime.date(2013, 12, 26), 'Private', 'Bottom of Backlog', 1, None)
(83, 1, 'Spec', 'Spec', datetime.date(2013, 12, 26), 'Private', 'Bottom of Backlog', 1, None)
(84, 12, 'Work on testing with John.', 'Work on testing with John.', datetime.date(2013, 12, 26), 'Private', 'Bottom of Backlog', 1, None)
(85, 1, 'Review timeslip model, add support for editing per day.', 'Review timeslip model, add support for editing per day.', datetime.date(2013, 12, 27), 'Private', 'Bottom of Backlog', 1, None)
(86, 1, 'Work on timeslip model - allow edits by having only a single timeslip per task (per user) per day.  Thus (eventually) can enter 6 hours 30 minutes for single task for me on 12/13 and this will update a single record.', 'Work on timeslip model - allow edits by having only a single timeslip per task (per user) per day.  Thus (eventually) can enter 6 hours 30 minutes for single task for me on 12/13 and this will update a single record.', datetime.date(2013, 12, 28), 'Private', 'Bottom of Backlog', 1, None)
(87, 1, 'Design URLs', 'Design URLs', datetime.date(2013, 12, 28), 'Private', 'Bottom of Backlog', 1, None)
(88, 1, 'Show Jenniffer a task (fingers crossed...)', 'Show Jenniffer a task (fingers crossed...)', datetime.date(2013, 12, 29), 'Private', 'Bottom of Backlog', 1, None)
(90, 1, "Test out whether a newly added task's timeslips have correct user.", "Test out whether a newly added task's timeslips have correct user.", datetime.date(2013, 12, 29), 'Private', 'Done', 1, None)
(91, 1, 'General testing / fixing', 'General testing / fixing', datetime.date(2013, 12, 29), 'Private', 'Bottom of Backlog', 1, None)
(92, 1, 'Rework timeSlips, correcting open detection etc.', 'Rework timeSlips, correcting open detection etc.', datetime.date(2013, 12, 30), 'Private', 'Bottom of Backlog', 1, None)
(93, 1, 'Continue work on task UI', 'Continue work on task UI', datetime.date(2013, 12, 31), 'Private', 'Done', 1, None)
(94, 4, 'Reading Again Chapter 5 Java Book', 'Reading Again Chapter 5 Java Book', datetime.date(2014, 1, 2), 'Private', 'Bottom of Backlog', 1, None)
(95, 4, 'Working MilestoneTests', 'Working MilestoneTests', datetime.date(2014, 1, 2), 'Private', 'Bottom of Backlog', 1, None)
(96, 1, 'Continue work on Tasks / Timeslips', 'Continue work on Tasks / Timeslips', datetime.date(2014, 1, 2), 'Private', 'Bottom of Backlog', 1, None)
(97, 1, 'Work on projects UI, projects model', 'Work on projects UI, projects model', datetime.date(2014, 1, 3), 'Private', 'Bottom of Backlog', 1, None)
(98, 1, 'Improvements to db exception handling and other work.', 'Improvements to db exception handling and other work.', datetime.date(2014, 1, 4), 'Private', 'Bottom of Backlog', 1, None)
(105, 1, 'Test task adding production', 'Test task adding production', datetime.date(2014, 1, 4), 'Private', 'Bottom of Backlog', None, None)
(106, 1, 'My task', 'My task', datetime.date(2014, 1, 5), 'Private', 'Bottom of Backlog', None, None)
(107, 1, 'Checking out timer UI', 'Checking out timer UI', datetime.date(2014, 1, 5), 'Private', 'Bottom of Backlog', None, None)
(109, 1, 'Continue work on task UI especially javascript / page logic for timer', 'Continue work on task UI especially javascript / page logic for timer', datetime.date(2014, 1, 9), 'Private', 'Bottom of Backlog', None, None)
(110, 1, 'Yet more work on TaskUI, such as add today to table if not present', 'Yet more work on TaskUI, such as add today to table if not present', datetime.date(2014, 1, 11), 'Private', 'Done', None, None)
(111, 1, 'Rework task UI / add ProjectRole model classes', 'Rework task UI / add ProjectRole model classes', None, 'Private', 'Bottom of Backlog', None, None)
(112, 4, 'Practicing AssertExamples', 'Practicing AssertExamples', datetime.date(2014, 1, 2), 'Private', 'Bottom of Backlog', None, None)
(113, 1, 'Fix bug in delete task -- does not redirect to tasks.', 'Fix bug in delete task -- does not redirect to tasks.', None, 'Private', 'Done', None, None)
(114, 1, 'Ad hoc UI review and bug fixes', 'Ad hoc UI review and bug fixes and rework tasks.', None, 'Private', 'Bottom of Backlog', None, None)
(116, 1, 'Work on MVC tests', '', None, 'Private', 'Bottom of Backlog', None, None)
(118, 1, 'PMIEVO-1126', '', None, 'Private', 'Bottom of Backlog', None, None)
(120, 1, 'Convert Goalboost models to hibernate', '', None, 'Private', 'Done', 0, 0)
(122, 1, 'Return to Goalboost after being away awhile, review last code (Freemarker etc).', "As stated.  Don't leave so long next time John.  Welcome back.", None, 'Private', 'Bottom of Backlog', None, None)
(123, 1, 'Begin reworking task UI to include projects, milestones', 'Tests and code to associate projects and milestones with task.', None, 'Private', 'Bottom of Backlog', None, None)
(125, 1, 'Work on add / edit timeslip without timer.', 'Add a new timeslip without the timer. \r\n\r\nFinished so far -- add code to TimeSlipDAO, and test, to support this.  Edit of hours only (not date etc) is working as of 2.5 hours, could have done more unit testing on model!\r\n\r\nThis is pretty much done at this point.  Have added new task to wall for filtering datepicker calendar', None, 'Private', 'Bottom of Backlog', 0, 0)
(126, 1, 'Raise capital on Indiego', 'Try to raise capital for Jenniffer.  Work on building out marketing materials, rework home page, setting up crowd funding page.', None, 'Private', 'Bottom of Backlog', 0, 0)
(127, 1, 'Team meeting -- also counts for Jenniffer.', '', None, 'Private', 'Bottom of Backlog', 0, 0)
(128, 4, 'Adding Status field', 'Work with John on removing isCompleted, adding status field.', None, 'Private', None, 0, 0)
(129, 1, 'Add status field', 'Work with Jenniffer to remove isCompleted, change to status field.', None, 'Private', None, 0, 0)
(130, 1, 'EC-2237', 'Eyefinity Jira - SubscriberLifecycle replacement.', None, 'Private', None, 0, 0)
(131, 1, 'BUG - Javascript bug adding time.', 'On a brand new day, adding time by starting timer shows "Not implemented" etc in Work On column', None, 'Private', None, 0, 0)
(132, 1, 'EC-2285 Jira', '', None, 'Private', None, 0, 0)
(133, 1, 'Scratch directory, some JQuery experimentation.', '', None, 'Private', None, 0, 0)
(134, 1, 'Milestone and Task Planning', 'Time spent on planning tasks and milestones for Goalboost.', None, 'Private', None, 0, 0)
(135, 1, 'Add ability to publish tasks', 'Basic page publish functionality with no "tweet this" etc at this point.', None, 'Private', None, 0, 0)
(136, 1, 'Fix case sensitive table names  MYSQL', 'This causes problems in production', None, 'Private', None, 0, 0)
(137, 1, 'Some enhancements to project page', 'Started displaying projects, better (button) link to new project form.', None, 'Private', None, 0, 0)
(138, 1, 'Fix timer bug on initial page load.', '', None, 'Private', None, 0, 0)
(139, 4, 'Test Timer Bug', 'Reload should work, state should be the same in multiple tasks.', None, 'Private', None, 0, 0)
(140, 4, 'Studying Java', 'Reading Certification Book: Chapter 2 Operators', None, 'Private', None, 0, 0)
(141, 1, '"Not implemented" bug', 'To reproduce:  For a task that has no timeslips for today, click "Start".  Newly created timeslip from Javascript will have "Not implemented"', None, 'Private', None, 0, 0)
(142, 4, 'Studying Java', 'Beginning chapter 3 (certification book)', None, 'Private', None, 0, 0)
(143, 1, 'Compare hosting options / solve performance issues.', '', None, 'Private', None, 0, 0)
