Listing warnings for log file:  C:\td\trunk\logdir\tdbuild-release-31-Thu-10-11480394.log
Total warnings in all files = 5101
Warnings:   File:
        1   ..\..\SQLWindows\share\db\dbsqlutil.cpp
        1   ..\..\Util\fed\feditem.cpp
        1   ..\..\ReportBuilder\rdw\grerg.cpp
        2   ..\..\SQLWindows\share\xml\SalXMLDOM.cpp
        6   ..\..\DBExplorer\cgquery\tablemgr.cpp
        4   ..\..\SQLWindows\exe\mfcui\FindBar.cpp
        1   ..\..\ReportBuilder\rdw\greinput.cpp
        6   ..\..\SQLWindows\exe\mfcui\IconEditorDlg.cpp
        1   ..\..\ReportBuilder\rdw\blkgraph.cpp
      608   c:\td\trunk\sqlwindows\include\..\share\res\resource.h
      258   ..\..\util\include\dbres.h
        2   ..\..\QO\src\qckgraph2\UfcChart.cpp
        6   ..\..\SQLWindows\exe\mfcui\frmsqlw.cpp
        4   ..\..\SQLWindows\share\os\osbinrd.cpp
        2   ..\Src\ExtToolControlBar.cpp
        1   c:\td\trunk\reportbuilder\rdw\rdwdlggo.cpp
        3   ..\..\SQLWindows\share\cls\udv.cpp
        8   c:\td\trunk\build\QLanguage\QFRENCH\..\..\..\util\include\..\..\SQLWindows\exe\res\resource.h
        1   ..\..\SQLWindows\share\sal\salwin.cpp
        3   ..\..\appsrv\apsdrv\apsdrv.c
        2   ..\..\SQLWindows\share\oed\oedctool.cpp
        1   ..\..\sqlodb32\c\OdbcCommon.cpp
        2   ..\..\Components\vt\vtcusctl.cpp
        2   c:\td\trunk\components\vt\vtcomm.h
        4   ..\..\QO\src\qckgraph2\qckarray.cpp
        1   .\tdws_receive.c
        4   c:\td\trunk\sqlwindows\exe\inspect\..\..\ObjNat\res\resource.h
        2   ..\..\DBExplorer\cgsql\CGSQLCMD.CPP
        2   c:\td\trunk\sqlwindows\launch\comexe\COMEXE_std.h
        6   ..\..\ReportBuilder\ReportBuilder\ReportBuilderDoc.cpp
       12   ..\..\profui\include\ExtGridWnd.h
       12   c:\td\trunk\sqlwindows\share\com\..\res\resource.h
        8   ..\Src\ExtPaintManager.cpp
        3   ..\..\ReportBuilder\ReportBuilder\ReportFileOpenDlg.cpp
        5   ..\..\SQLWindows\share\sal\saltbl.cpp
        1   ..\..\DBExplorer\gee\gee.def
       10   ..\..\Components\SalMail\PocoWrapper\PocoWrapper.cpp
        3   ..\..\SQLWindows\exe\mfcui\OraCodeDlg.cpp
        2   ..\..\ReportBuilder\rdw\greblock.cpp
        1   ..\..\SQLWindows\share\fes\UfcRibbon.cpp
        1   ..\..\Components\vt\vtstr.cpp
        1   ..\..\websrv\nsapi\nsapi.def
        2   ..\..\ReportBuilder\rdw\greitem.cpp
        1   ..\..\Components\vt\vtpalctl.cpp
